epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.254138708114624	0.05710369721055031	0.2662768537204663	0.2234899401664734	0.0988149642944336	0.24700000652445295
20.0	0.2850112020969391	0.06253364682197571	0.3019080743687392	0.24899329245090485	0.10853487253189087	0.27770475943892653
30.0	0.29395970702171326	0.0639222040772438	0.30609089673872547	0.25816553831100464	0.11312097311019897	0.28408387702548565
40.0	0.29664430022239685	0.06525234878063202	0.30846814563778885	0.2554810047149658	0.11364710330963135	0.282681030856344
50.0	0.28948548436164856	0.06324639171361923	0.30048040309463453	0.2539149820804596	0.11144192516803741	0.279239882307402
60.0	0.2818792164325714	0.06183002144098282	0.2953614100492633	0.24765099585056305	0.10926654189825058	0.27400633314847295
70.0	0.27337807416915894	0.06246507912874222	0.2850836940143571	0.24697986245155334	0.10760455578565598	0.2694202529773744
80.0	0.26621925830841064	0.05953032895922661	0.2804795701077121	0.2380313128232956	0.10452929139137268	0.26317432609364383
90.0	0.26040270924568176	0.05882319062948227	0.2738442009514375	0.23668904602527618	0.1035337746143341	0.25944612907339704
100.0	0.26353469491004944	0.060350943356752396	0.2743330192033337	0.23355703055858612	0.10239242017269135	0.2566973298382949
110.0	0.25906041264533997	0.06040770187973976	0.26860440460201657	0.22841162979602814	0.09866121411323547	0.2507295240659624
120.0	0.25369128584861755	0.05616777017712593	0.2671213533843091	0.22639819979667664	0.09794579446315765	0.2500200631231176
130.0	0.2532438635826111	0.057163506746292114	0.26817456442149545	0.2234899401664734	0.09770530462265015	0.24895194289151398
140.0	0.2487695813179016	0.0551854632794857	0.2624489448610355	0.22595077753067017	0.09822051972150803	0.24817191918368564
